Date,Close,Open,High,Low,7_day_MA,14_day_MA,30_day_MA,Daily_Change,Volatility
2013-01-30,19.7,19.5,19.8,19.1,18.271428571428572,17.285714285714285,15.44,0.01025641025641022,1.059424821486168
2013-01-31,20.4,19.7,21.4,19.5,18.77142857142857,17.635714285714286,15.676666666666666,0.035532994923857864,1.1279986491042464
2013-02-01,20.5,20.4,21.1,20.3,19.214285714285715,17.978571428571428,15.916666666666666,0.004901960784313708,1.1081945849422365
2013-02-02,19.6,20.5,20.5,18.0,19.457142857142856,18.264285714285712,16.12333333333333,-0.04390243902439017,0.9466733735510557
2013-02-03,20.6,19.6,20.9,19.4,19.857142857142858,18.614285714285717,16.36,0.05102040816326525,0.6852180744287732
2013-02-04,20.4,20.6,21.0,19.9,20.099999999999998,18.87142857142857,16.593333333333334,-0.009708737864077777,0.47609522856959613
2013-02-05,20.6,20.4,20.8,20.2,20.25714285714286,19.107142857142858,16.833333333333332,0.009803921568627638,0.4237025012008797
2013-02-06,21.2,20.6,21.3,20.6,20.47142857142857,19.37142857142857,17.086666666666666,0.029126213592232997,0.4715728494952056
2013-02-07,22.1,21.2,22.2,20.8,20.714285714285715,19.742857142857144,17.366666666666667,0.04245283018867929,0.771208081364546
2013-02-08,22.7,22.1,22.8,22.0,21.02857142857143,20.12142857142857,17.663333333333334,0.02714932126696823,1.0625665245280893
2013-02-09,23.6,22.7,24.0,22.6,21.6,20.52857142857143,17.98,0.0396475770925111,1.2288205727444892
2013-02-10,24.0,23.6,24.1,22.7,22.08571428571429,20.971428571428568,18.31,0.016949152542372836,1.4241120876164701
2013-02-11,24.6,24.0,24.7,23.6,22.685714285714287,21.392857142857142,18.65666666666667,0.025000000000000133,1.4792211592913853
2013-02-12,25.2,24.6,25.8,24.3,23.342857142857138,21.8,19.026666666666667,0.024390243902439046,1.4187519666443695
2013-02-13,24.2,25.2,26.3,24.2,23.771428571428572,22.12142857142857,19.356666666666666,-0.03968253968253965,1.0750415274371579
2013-02-14,27.2,24.2,27.6,21.7,24.5,22.607142857142858,19.78666666666667,0.12396694214876036,1.4247806848775522
2013-02-15,27.1,27.2,27.5,26.1,25.12857142857143,23.078571428571426,20.2,-0.00367647058823517,1.468235092113809
2013-02-16,27.2,27.1,27.5,26.8,25.642857142857142,23.62142857142857,20.589999999999996,0.0036900369003689537,1.4740614447360445
2013-02-17,26.8,27.2,27.4,25.0,26.04285714285714,24.064285714285713,20.96,-0.014705882352941124,1.3264704329626016
2013-02-18,27.0,26.8,27.1,26.4,26.385714285714283,24.535714285714285,21.34,0.00746268656716409,1.1950293879630878
2013-02-19,29.4,27.0,29.6,26.8,26.985714285714288,25.164285714285715,21.796666666666667,0.0888888888888888,1.512645113070296
2013-02-20,29.6,29.4,29.9,29.0,27.757142857142856,25.764285714285712,22.223333333333336,0.006802721088435382,1.1998015708958056
2013-02-21,29.8,29.6,30.0,29.3,28.12857142857143,26.314285714285713,22.64,0.006756756756756799,1.3864995320522813
2013-02-22,30.3,29.8,31.3,29.7,28.58571428571429,26.857142857142858,23.066666666666666,0.016778523489932917,1.5126451130703098
2013-02-23,29.8,30.3,30.7,28.0,28.957142857142856,27.300000000000004,23.496666666666666,-0.01650165016501648,1.4327795164844452
2013-02-24,29.9,29.8,30.4,29.2,29.400000000000002,27.72142857142857,23.913333333333334,0.003355704697986406,1.0939226054282498
2013-02-25,30.4,29.9,30.4,29.5,29.88571428571429,28.135714285714283,24.33,0.01672240802675584,0.3579039509358727
2013-02-26,31.1,30.4,31.7,30.1,30.12857142857143,28.557142857142857,24.773333333333333,0.023026315789473673,0.5154748157908001
2013-02-27,30.9,31.1,31.6,30.8,30.314285714285717,29.035714285714285,25.18,-0.006430868167202619,0.5273473599967234
2013-02-28,33.4,30.9,34.5,30.9,30.82857142857143,29.478571428571428,25.64333333333333,0.08090614886731395,1.2297889869328116
2013-03-01,34.5,33.4,34.9,32.9,31.428571428571427,30.00714285714286,26.136666666666663,0.03293413173652704,1.814491926788663
2013-03-02,34.3,34.5,34.8,33.2,32.07142857142857,30.514285714285716,26.6,-0.005797101449275477,1.9345234432234815
2013-03-03,34.5,34.3,34.5,33.8,32.72857142857143,31.064285714285713,27.066666666666666,0.005830903790087438,1.8535679878856803
2013-03-04,36.2,34.5,36.7,34.2,33.55714285714286,31.72142857142857,27.619999999999997,0.049275362318840665,1.933784840545632
2013-03-05,40.3,36.2,40.7,36.2,34.871428571428574,32.5,28.276666666666667,0.11325966850828717,2.8802281655651103
2013-03-06,41.0,40.3,49.1,40.1,36.31428571428571,33.31428571428571,28.96333333333333,0.017369727047146455,3.081897992811492
2013-03-07,42.0,41.0,45.5,33.3,37.542857142857144,34.18571428571429,29.67666666666667,0.024390243902439046,3.421918147694954
2013-03-08,44.2,42.0,44.5,41.0,38.92857142857143,35.17857142857143,30.44333333333333,0.05238095238095242,3.913103749248313
2013-03-09,46.8,44.2,47.0,43.4,40.714285714285715,36.392857142857146,31.266666666666666,0.0588235294117645,4.2834676651161345
2013-03-10,46.0,46.8,48.0,45.5,42.357142857142854,37.542857142857144,32.04333333333334,-0.017094017094017033,3.663266822048872
2013-03-11,48.4,46.0,48.5,45.5,44.1,38.82857142857143,32.87,0.05217391304347818,3.1053716900451054
2013-03-12,44.3,48.4,48.4,36.7,44.67142857142857,39.771428571428565,33.54666666666667,-0.08471074380165289,2.6196146572313297
2013-03-13,46.9,44.3,47.3,43.8,45.51428571428572,40.91428571428571,34.29,0.05869074492099324,2.148199689219367
2013-03-14,47.2,46.9,48.0,46.0,46.25714285714286,41.9,35.02333333333333,0.006396588486140775,1.5447299039608104
2013-03-15,47.0,47.2,47.5,46.4,46.65714285714286,42.792857142857144,35.78333333333333,-0.00423728813559332,1.2594405409509362
2013-03-16,47.0,47.0,47.4,46.3,46.68571428571429,43.699999999999996,36.44333333333334,0.0,1.265475630515611
2013-03-17,47.4,47.0,47.7,46.8,46.885714285714286,44.62142857142857,37.12,0.008510638297872353,1.2495713550769667
2013-03-18,51.6,47.4,52.9,47.1,47.34285714285715,45.721428571428575,37.93333333333333,0.08860759493670889,2.1539553870784176
